time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1706395928434724900,0.077724853515625,-0.0052199289202690125,0.018079759553074837,0.0035434062592685223,-0.19875651597976685,-0.2611638009548187,-0.9446106553077698,-0.01935255527496338,-0.003438800573348999,0.0025482773780822754,0.9860554122531601,0.13242855707602236,-0.10078364769777193,-3.3381953090276814e-18
1706395928444680000,0.087679931640625,-0.010822154581546783,0.022144276648759842,0.003920776303857565,-0.19870440661907196,-0.2613042891025543,-0.9445827603340149,-0.021037369966506958,-0.005465030670166016,0.005526363849639893,0.9860483789656306,0.13250372650082548,-0.10075402464435287,0.000029127054890461094
1706395928454635000,0.097635009765625,-0.01940073072910309,0.019984185695648193,0.00057371542789042,-0.19865809381008148,-0.2613987922668457,-0.9445663690567017,-0.020442798733711243,-0.008559614419937134,0.00720369815826416,0.9860442159843494,0.13255398215822256,-0.10072862994107701,0.00004652748926463683
1706395928464588800,0.1075888671875,-0.01638949289917946,0.022275304421782494,-0.0013387005310505629,-0.1986362636089325,-0.2614763379096985,-0.9445495009422302,-0.018587782979011536,-0.005338728427886963,0.007141053676605225,0.9860399261135481,0.1325942405903454,-0.1007175201692029,0.0000500620874409313
1706395928474543900,0.1175439453125,-0.008247144520282745,0.02472514659166336,0.0018862546421587467,-0.1985909342765808,-0.2615678906440735,-0.9445337057113647,-0.020799875259399414,-0.0018444955348968506,0.008788466453552246,0.9860359832674,0.13264325604162008,-0.10069220139155678,0.00007034741731418476
1706395928484499000,0.1274990234375,-0.008725713938474655,0.02483966387808323,-0.0007225777953863144,-0.19851891696453094,-0.26160478591918945,-0.9445385932922363,-0.021497517824172974,-0.0006479620933532715,0.013096332550048828,0.9860371838539693,0.13266391322740384,-0.10065277766012891,0.00009104189343416394
1706395928494454000,0.1374541015625,-0.008570229634642601,0.02211797796189785,-0.00008764700032770634,-0.19845470786094666,-0.26155489683151245,-0.9445658922195435,-0.017991170287132263,-0.00013324618339538574,0.012192845344543457,0.9860440606451693,0.13264001421963476,-0.10061646320100796,0.00011373720011370733
1706395928504407800,0.14740771484375,-0.006415999494493008,0.015833716839551926,0.0008058436214923859,-0.1984049528837204,-0.26150214672088623,-0.9445909857749939,-0.015523210167884827,0.00007337331771850586,0.009868025779724121,0.9860504733433483,0.13261456846180122,-0.10058771381390015,0.00013509935246578251
1706395928514363000,0.15736279296875,0.0038600298576056957,0.011685377918183804,-0.00089295394718647,-0.19839465618133545,-0.2615474462509155,-0.944580614566803,-0.013366758823394775,0.0008968710899353027,0.008118152618408203,0.9860478735413907,0.13263952365971038,-0.10058059432078559,0.00015115167550762768
1706395928524318000,0.16731787109375,0.015238918364048004,0.009470692835748196,0.0016064224764704704,-0.19845430552959442,-0.2617051303386688,-0.9445244073867798,-0.010804668068885803,0.0010545551776885986,0.00757366418838501,0.9860334804411213,0.1327232807950178,-0.10060984645698495,0.000169357053838655
1706395928534273000,0.17727294921875,0.02241307497024536,0.004495708737522364,0.0030367067083716393,-0.198570117354393,-0.2619771361351013,-0.9444246292114258,-0.010704129934310913,0.0015096962451934814,0.005047798156738281,0.9860082364105573,0.13286754277250074,-0.10066727692302148,0.0001979055533456987
1706395928544227800,0.187227783203125,0.020581351593136787,0.007169788703322411,0.007461282424628735,-0.19865252077579498,-0.26224327087402344,-0.9443334341049194,-0.012498542666435242,0.004842817783355713,0.004987120628356934,0.9859850892794454,0.13300926216002792,-0.10070659199342993,0.00023354885603492579
